I0317 10:52:37.326282     893 libfabric_common.cpp:81] Found device - domain: ens42np0, provider=sockets, ep_type=3, caps=0x13a000000313f06
I0317 10:52:37.326283     893 libfabric_common.cpp:81] Found device - domain: ens32np0, provider=sockets, ep_type=3, caps=0x13a000000313f06
I0317 10:52:37.326284     893 libfabric_common.cpp:81] Found device - domain: ens41np0, provider=sockets, ep_type=3, caps=0x13a000000313f06
I0317 10:52:37.326285     893 libfabric_common.cpp:81] Found device - domain: ens31np0, provider=sockets, ep_type=3, caps=0x13a000000313f06
I0317 10:52:37.326286     893 libfabric_common.cpp:81] Found device - domain: flannel.1, provider=sockets, ep_type=3, caps=0x13a000000313f06
I0317 10:52:37.326288     893 libfabric_common.cpp:81] Found device - domain: vlan1401, provider=sockets, ep_type=3, caps=0x13a000000313f06
I0317 10:52:37.326289     893 libfabric_common.cpp:81] Found device - domain: ens51np0, provider=sockets, ep_type=3, caps=0x13a000000313f06
I0317 10:52:37.326290     893 libfabric_common.cpp:81] Found device - domain: flannel.1, provider=sockets, ep_type=3, caps=0x13a000000313f06
I0317 10:52:37.326291     893 libfabric_common.cpp:81] Found device - domain: ens51np0, provider=sockets, ep_type=3, caps=0x13a000000313f06
I0317 10:52:37.326292     893 libfabric_common.cpp:81] Found device - domain: vlan1401, provider=sockets, ep_type=3, caps=0x13a000000313f06
I0317 10:52:37.326293     893 libfabric_common.cpp:81] Found device - domain: cni0, provider=sockets, ep_type=3, caps=0x13a000000313f06
I0317 10:52:37.326294     893 libfabric_common.cpp:81] Found device - domain: vethd20ac36d, provider=sockets, ep_type=3, caps=0x13a000000313f06
I0317 10:52:37.326295     893 libfabric_common.cpp:81] Found device - domain: vethf79f544c, provider=sockets, ep_type=3, caps=0x13a000000313f06
I0317 10:52:37.326296     893 libfabric_common.cpp:81] Found device - domain: veth9b2b176c, provider=sockets, ep_type=3, caps=0x13a000000313f06
