I0317 11:12:08.203097     274 libfabric_common.cpp:81] Found device - domain: ens12np0, provider=udp;ofi_rxd, ep_type=3, caps=0x118000000013f06
I0317 11:12:08.203099     274 libfabric_common.cpp:81] Found device - domain: ens21np0, provider=udp;ofi_rxd, ep_type=3, caps=0x118000000013f06
I0317 11:12:08.203100     274 libfabric_common.cpp:81] Found device - domain: ens11np0, provider=udp;ofi_rxd, ep_type=3, caps=0x118000000013f06
I0317 11:12:08.203101     274 libfabric_common.cpp:81] Found device - domain: ens42np0, provider=udp;ofi_rxd, ep_type=3, caps=0x118000000013f06
I0317 11:12:08.203103     274 libfabric_common.cpp:81] Found device - domain: ens32np0, provider=udp;ofi_rxd, ep_type=3, caps=0x118000000013f06
I0317 11:12:08.203104     274 libfabric_common.cpp:81] Found device - domain: ens41np0, provider=udp;ofi_rxd, ep_type=3, caps=0x118000000013f06
I0317 11:12:08.203105     274 libfabric_common.cpp:81] Found device - domain: ens31np0, provider=udp;ofi_rxd, ep_type=3, caps=0x118000000013f06
I0317 11:12:08.203106     274 libfabric_common.cpp:81] Found device - domain: ens22np0, provider=udp;ofi_rxd, ep_type=3, caps=0x118000000013f06
I0317 11:12:08.203108     274 libfabric_common.cpp:81] Found device - domain: ens12np0, provider=udp;ofi_rxd, ep_type=3, caps=0x118000000013f06
I0317 11:12:08.203109     274 libfabric_common.cpp:81] Found device - domain: ens21np0, provider=udp;ofi_rxd, ep_type=3, caps=0x118000000013f06
I0317 11:12:08.203110     274 libfabric_common.cpp:81] Found device - domain: ens11np0, provider=udp;ofi_rxd, ep_type=3, caps=0x118000000013f06
I0317 11:12:08.203111     274 libfabric_common.cpp:81] Found device - domain: ens42np0, provider=udp;ofi_rxd, ep_type=3, caps=0x118000000013f06
I0317 11:12:08.203112     274 libfabric_common.cpp:81] Found device - domain: ens32np0, provider=udp;ofi_rxd, ep_type=3, caps=0x118000000013f06
I0317 11:12:08.203113     274 libfabric_common.cpp:81] Found device - domain: ens41np0, provider=udp;ofi_rxd, ep_type=3, caps=0x118000000013f06
I0317 11:12:08.203114     274 libfabric_common.cpp:81] Found device - domain: ens31np0, provider=udp;ofi_rxd, ep_type=3, caps=0x118000000013f06
I0317 11:12:08.203116     274 libfabric_common.cpp:81] Found device - domain: flannel.1, provider=udp;ofi_rxd, ep_type=3, caps=0x118000000013f06
I0317 11:12:08.203117     274 libfabric_common.cpp:81] Found device - domain: vlan1401, provider=udp;ofi_rxd, ep_type=3, caps=0x118000000013f06
I0317 11:12:08.203119     274 libfabric_common.cpp:81] Found device - domain: ens51np0, provider=udp;ofi_rxd, ep_type=3, caps=0x118000000013f06
I0317 11:12:08.203120     274 libfabric_common.cpp:81] Found device - domain: flannel.1, provider=udp;ofi_rxd, ep_type=3, caps=0x118000000013f06
I0317 11:12:08.203121     274 libfabric_common.cpp:81] Found device - domain: ens51np0, provider=udp;ofi_rxd, ep_type=3, caps=0x118000000013f06
I0317 11:12:08.203122     274 libfabric_common.cpp:81] Found device - domain: vlan1401, provider=udp;ofi_rxd, ep_type=3, caps=0x118000000013f06
I0317 11:12:08.203124     274 libfabric_common.cpp:81] Found device - domain: cni0, provider=udp;ofi_rxd, ep_type=3, caps=0x118000000013f06
